NP_463534.1	lmo0001
NP_465518.1	lmo1994
NP_465519.1	lmo1995
NP_465520.1	lmo1996
NP_465521.1	lmo1997
NP_465522.1	lmo1998
NP_465523.1	lmo1999
NP_465524.1	lmo2000
NP_465525.1	lmo2001
NP_465526.1	lmo2002
NP_465527.1	lmo2003
NP_465528.1	lmo2004
NP_465529.1	lmo2005
NP_465530.1	lmo2006
NP_465531.1	lmo2007
NP_465532.1	lmo2008
NP_465533.1	lmo2009
NP_465534.1	lmo2010
NP_465535.1	lmo2011
NP_465536.1	lmo2012
NP_465537.1	lmo2013
NP_465538.1	lmo2014
NP_465539.1	lmo2015
NP_465540.1	lmo2016
NP_465541.1	lmo2017
NP_465542.1	lmo2018
NP_465543.1	lmo2019
NP_465544.1	lmo2020
NP_465545.1	lmo2021
NP_465546.1	lmo2022
NP_465547.1	lmo2023
NP_465548.1	lmo2024
NP_465549.1	lmo2025
NP_465550.1	lmo2026
NP_465551.1	lmo2027
NP_465552.1	lmo2028
NP_465553.1	lmo2029
NP_465554.1	lmo2030
NP_465555.1	lmo2031
NP_465556.1	lmo2032
NP_465557.1	lmo2033
NP_465558.1	lmo2034
NP_465559.1	lmo2035
NP_465560.1	lmo2036
NP_465561.1	lmo2037
NP_465562.1	lmo2038
NP_465563.1	lmo2039
NP_465564.1	lmo2040
NP_465565.1	lmo2041
NP_465566.1	lmo2042
NP_465567.1	lmo2043
NP_465568.1	lmo2044
NP_465569.1	lmo2045
NP_465570.1	lmo2046
NP_465571.1	lmo2047
NP_465572.1	lmo2048
NP_465573.1	lmo2049
NP_465574.1	lmo2050
NP_465575.1	lmo2051
NP_465576.1	lmo2052
NP_465577.1	lmo2053
NP_465578.1	lmo2054
NP_465579.1	lmo2055
NP_465580.1	lmo2056
NP_465581.1	lmo2057
NP_465582.1	lmo2058
NP_465583.1	lmo2059
NP_465584.1	lmo2060
NP_465585.1	lmo2061
NP_465586.1	lmo2062
NP_465587.1	lmo2063
NP_465588.1	lmo2064
NP_465589.1	lmo2065
NP_465590.1	lmo2066
NP_465591.1	lmo2067
NP_465592.1	lmo2068
NP_465593.1	lmo2069
NP_465594.1	lmo2070
NP_465595.1	lmo2071
NP_465596.1	lmo2072
NP_465597.1	lmo2073
NP_465598.1	lmo2074
NP_465599.2	lmo2075
NP_465600.1	lmo2076
NP_465601.1	lmo2077
NP_465602.1	lmo2078
NP_465603.1	lmo2079
NP_465604.1	lmo2080
NP_465605.1	lmo2081
NP_465606.1	lmo2082
NP_465607.1	lmo2083
NP_465608.1	lmo2084
NP_465609.1	lmo2085
NP_465610.1	lmo2086
NP_465611.1	lmo2087
NP_465612.1	lmo2088
NP_465613.1	lmo2089
NP_465614.1	lmo2090
NP_465615.1	lmo2091
NP_465616.1	lmo2092
NP_465617.1	lmo2093
NP_465618.1	lmo2094
NP_465619.1	lmo2095
NP_465620.1	lmo2096
NP_465621.1	lmo2097
NP_465622.1	lmo2098
NP_465623.1	lmo2099
NP_465624.1	lmo2100
NP_465625.1	lmo2101
NP_465626.1	lmo2102
NP_465627.1	lmo2103
NP_465628.1	lmo2104
NP_465629.1	lmo2105
YP_008475638.1	lmo2104a
NP_465630.1	lmo2106
NP_465631.1	lmo2107
NP_465632.1	lmo2108
NP_465633.1	lmo2109
NP_465634.1	lmo2110
NP_465635.1	lmo2111
NP_465636.1	lmo2112
NP_465637.1	lmo2113
NP_465638.1	lmo2114
NP_465639.1	lmo2115
NP_465640.1	lmo2116
NP_465641.1	lmo2117
NP_465642.1	lmo2118
NP_465643.1	lmo2119
NP_465644.1	lmo2120
NP_465645.1	lmo2121
NP_465646.1	lmo2122
NP_465647.1	lmo2123
NP_465648.1	lmo2124
NP_465649.1	lmo2125
NP_465650.1	lmo2126
NP_465651.1	lmo2127
NP_465652.1	lmo2128
NP_465653.1	lmo2129
NP_465654.1	lmo2130
NP_465655.1	lmo2131
NP_465656.1	lmo2132
NP_465657.1	lmo2133
NP_465658.1	lmo2134
NP_465659.1	lmo2135
NP_465660.1	lmo2136
NP_465661.1	lmo2137
NP_465662.1	lmo2138
NP_465663.1	lmo2139
NP_465664.1	lmo2140
NP_465665.1	lmo2141
NP_465666.1	lmo2142
NP_465667.1	lmo2143
NP_465668.1	lmo2144
NP_465669.1	lmo2145
NP_465670.1	lmo2146
NP_465671.1	lmo2147
NP_465672.1	lmo2148
NP_465673.1	lmo2149
NP_465674.1	lmo2150
NP_465675.1	lmo2151
NP_465676.1	lmo2152
NP_465677.1	lmo2153
NP_465678.1	lmo2154
NP_465679.1	lmo2155
NP_465680.1	lmo2156
NP_465681.1	lmo2157
NP_465682.1	lmo2158
NP_465683.1	lmo2159
NP_465684.1	lmo2160
NP_465685.1	lmo2161
NP_465686.1	lmo2162
NP_465687.1	lmo2163
NP_465688.1	lmo2164
NP_465689.1	lmo2165
NP_465690.1	lmo2166
NP_465691.1	lmo2167
NP_465692.1	lmo2168
NP_465693.1	lmo2169
NP_465694.1	lmo2170
NP_465695.1	lmo2171
NP_465696.1	lmo2172
NP_465697.1	lmo2173
NP_465698.1	lmo2174
NP_465699.1	lmo2175
NP_465700.1	lmo2176
NP_465701.1	lmo2177
NP_465702.1	lmo2178
NP_465703.1	lmo2179
NP_465704.1	lmo2180
NP_465705.1	lmo2181
NP_465706.1	lmo2182
NP_465707.1	lmo2183
NP_465708.1	lmo2184
NP_465709.1	lmo2185
NP_465710.1	lmo2186
NP_465711.1	lmo2187
NP_465712.1	lmo2188
NP_465713.1	lmo2189
NP_465714.1	lmo2190
NP_465715.1	lmo2191
NP_465716.1	lmo2192
NP_465717.1	lmo2193
NP_465718.1	lmo2194
NP_465719.1	lmo2195
NP_465720.1	lmo2196
NP_465721.1	lmo2197
NP_465722.1	lmo2198
NP_465723.1	lmo2199
NP_465724.1	lmo2200
NP_465725.1	lmo2201
NP_465726.1	lmo2202
NP_465727.1	lmo2203
NP_465728.1	lmo2204
NP_465729.1	lmo2205
NP_465730.1	lmo2206
NP_465731.1	lmo2207
NP_465732.1	lmo2208
NP_465733.1	lmo2209
NP_465734.1	lmo2210
NP_465735.1	lmo2211
NP_465736.1	lmo2212
NP_465737.1	lmo2213
NP_465738.1	lmo2214
NP_465739.1	lmo2215
NP_465740.1	lmo2216
NP_465741.1	lmo2217
NP_465742.1	lmo2218
NP_465743.1	lmo2219
NP_465744.1	lmo2220
NP_465745.1	lmo2221
NP_465746.1	lmo2222
NP_465747.1	lmo2223
NP_465748.1	lmo2224
NP_465749.1	lmo2225
NP_465750.1	lmo2226
NP_465751.1	lmo2227
NP_465752.1	lmo2228
NP_465753.1	lmo2229
NP_465754.1	lmo2230
NP_465755.1	lmo2231
NP_465756.1	lmo2232
NP_465757.1	lmo2233
NP_465758.1	lmo2234
NP_465759.1	lmo2235
NP_465760.1	lmo2236
NP_465761.1	lmo2237
NP_465762.1	lmo2238
NP_465763.1	lmo2239
NP_465764.1	lmo2240
NP_465765.1	lmo2241
NP_465766.1	lmo2242
NP_465767.1	lmo2243
NP_465768.1	lmo2244
NP_465769.1	lmo2245
NP_465770.1	lmo2246
NP_465771.1	lmo2247
NP_465772.1	lmo2248
NP_465773.1	lmo2249
NP_465774.1	lmo2250
NP_465775.1	lmo2251
NP_465776.1	lmo2252
NP_465777.1	lmo2253
NP_465778.1	lmo2254
NP_465779.1	lmo2255
NP_465780.1	lmo2256
NP_465781.1	lmo2257
NP_465782.1	lmo2258
NP_465783.1	lmo2259
NP_465784.1	lmo2260
NP_465785.1	lmo2261
NP_465786.1	lmo2262
NP_465787.1	lmo2263
NP_465788.1	lmo2264
NP_465789.1	lmo2265
NP_465790.1	lmo2266
NP_465791.1	lmo2267
NP_465792.1	lmo2268
NP_465793.2	lmo2269
NP_465794.1	lmo2270
NP_465795.1	lmo2271
NP_465796.1	lmo2272
NP_465797.1	lmo2273
NP_465798.1	lmo2274
NP_465799.1	lmo2275
NP_465800.1	lmo2276
NP_465801.1	lmo2277
NP_465802.1	lmo2278
NP_465803.1	lmo2279
NP_465804.1	lmo2280
NP_465805.1	lmo2281
NP_465806.1	lmo2282
NP_465807.1	lmo2283
NP_465808.1	lmo2284
NP_465809.1	lmo2285
NP_465810.1	lmo2286
NP_465811.1	lmo2287
NP_465812.1	lmo2288
NP_465813.1	lmo2289
NP_465814.1	lmo2290
NP_465815.1	lmo2291
NP_465816.1	lmo2292
NP_465817.1	lmo2293
NP_465818.1	lmo2294
NP_465819.1	lmo2295
NP_465820.1	lmo2296
NP_465821.1	lmo2297
NP_465822.1	lmo2298
NP_465823.1	lmo2299
NP_465824.1	lmo2300
NP_465825.1	lmo2301
NP_465826.1	lmo2302
NP_465827.1	lmo2303
NP_465828.1	lmo2304
NP_465829.1	lmo2305
NP_465830.1	lmo2306
NP_465831.1	lmo2307
NP_465832.1	lmo2308
NP_465833.1	lmo2309
NP_465834.1	lmo2310
NP_465835.1	lmo2311
NP_465836.1	lmo2312
NP_465837.1	lmo2313
NP_465838.1	lmo2314
NP_465839.1	lmo2315
NP_465840.1	lmo2316
NP_465841.1	lmo2317
NP_465842.1	lmo2318
NP_465843.1	lmo2319
NP_465844.1	lmo2320
NP_465845.1	lmo2321
NP_465846.1	lmo2322
NP_465847.1	lmo2323
NP_465848.1	lmo2324
NP_465849.1	lmo2325
YP_008475639.1	lmo2325a
NP_465850.1	lmo2326
NP_465851.1	lmo2327
NP_465852.1	lmo2328
NP_465853.1	lmo2329
YP_008475640.1	lmo2329a
NP_465854.1	lmo2330
NP_465855.1	lmo2331
NP_465856.1	lmo2332
YP_008475641.1	lmo02333
NP_465857.1	lmo2334
NP_465858.1	lmo2335
NP_465859.1	lmo2336
NP_465860.1	lmo2337
NP_465861.1	lmo2338
NP_465862.1	lmo2339
NP_465863.1	lmo2340
NP_465864.1	lmo2341
NP_465865.1	lmo2342
NP_465866.1	lmo2343
NP_465867.1	lmo2344
NP_465868.1	lmo2345
NP_465869.1	lmo2346
NP_465870.1	lmo2347
NP_465871.1	lmo2348
NP_465872.1	lmo2349
NP_465873.1	lmo2350
NP_465874.1	lmo2351
NP_465875.1	lmo2352
NP_465876.1	lmo2353
NP_465877.1	lmo2354
NP_465878.1	lmo2355
NP_465879.1	lmo2356
NP_465880.1	lmo2357
NP_465881.1	lmo2358
NP_465882.1	lmo2359
NP_465883.1	lmo2360
NP_465884.1	lmo2361
NP_465885.1	lmo2362
NP_465886.1	lmo2363
NP_465887.1	lmo2364
NP_465888.1	lmo2365
NP_465889.1	lmo2366
NP_465890.1	lmo2367
NP_465891.1	lmo2368
NP_465892.1	lmo2369
NP_465893.1	lmo2370
NP_465894.1	lmo2371
NP_465895.1	lmo2372
NP_465896.1	lmo2373
NP_465897.1	lmo2374
NP_465898.1	lmo2375
NP_465899.1	lmo2376
NP_465900.1	lmo2377
NP_465901.1	lmo2378
NP_465902.1	lmo2379
NP_465903.1	lmo2380
NP_465904.1	lmo2381
NP_465905.1	lmo2382
NP_465906.1	lmo2383
NP_465907.1	lmo2384
NP_465908.1	lmo2385
NP_465909.1	lmo2386
NP_465910.1	lmo2387
NP_465911.1	lmo2388
NP_465912.1	lmo2389
NP_465913.1	lmo2390
NP_465914.1	lmo2391
NP_465915.1	lmo2392
NP_465916.1	lmo2393
NP_465917.1	lmo2394
NP_465918.1	lmo2395
NP_465919.1	lmo2396
NP_465920.1	lmo2397
NP_465921.1	lmo2398
NP_465922.1	lmo2399
NP_465923.1	lmo2400
NP_465924.1	lmo2401
NP_465925.1	lmo2402
NP_465926.1	lmo2403
NP_465927.1	lmo2404
NP_465928.1	lmo2405
NP_465929.1	lmo2406
NP_465930.1	lmo2407
NP_465931.1	lmo2408
NP_465932.1	lmo2409
NP_465933.1	lmo2410
NP_465934.1	lmo2411
NP_465935.1	lmo2412
NP_465936.1	lmo2413
NP_465937.1	lmo2414
NP_465938.1	lmo2415
NP_465939.1	lmo2416
NP_465940.1	lmo2417
NP_465941.1	lmo2418
NP_465942.1	lmo2419
NP_465943.1	lmo2420
NP_465944.1	lmo2421
NP_465945.1	lmo2422
NP_465946.1	lmo2423
NP_465947.1	lmo2424
NP_465948.1	lmo2425
NP_465949.1	lmo2426
NP_465950.1	lmo2427
NP_465951.1	lmo2428
NP_465952.1	lmo2429
NP_465953.1	lmo2430
NP_465954.1	lmo2431
NP_465955.1	lmo2432
NP_465956.1	lmo2433
NP_465957.1	lmo2434
NP_465958.1	lmo2435
NP_465959.1	lmo2436
NP_465960.1	lmo2437
NP_465961.1	lmo2438
NP_465962.1	lmo2439
NP_465963.1	lmo2440
NP_465964.1	lmo2441
NP_465965.1	lmo2442
NP_465966.1	lmo2443
NP_465967.1	lmo2444
NP_465968.1	lmo2445
NP_465969.1	lmo2446
NP_465970.1	lmo2447
NP_465971.1	lmo2448
NP_465972.1	lmo2449
NP_465973.1	lmo2450
NP_465974.1	lmo2451
NP_465975.1	lmo2452
NP_465976.1	lmo2453
NP_465977.1	lmo2454
NP_465978.1	lmo2455
NP_465979.1	lmo2456
NP_465980.1	lmo2457
NP_465981.1	lmo2458
NP_465982.1	lmo2459
NP_465983.1	lmo2460
NP_465984.1	lmo2461
NP_465985.1	lmo2462
NP_465986.1	lmo2463
NP_465987.1	lmo2464
NP_465988.1	lmo2465
NP_465989.1	lmo2466
NP_465990.1	lmo2467
NP_465991.1	lmo2468
NP_465992.1	lmo2469
NP_465993.1	lmo2470
NP_465994.1	lmo2471
NP_465995.1	lmo2472
NP_465996.1	lmo2473
NP_465997.1	lmo2474
NP_465998.1	lmo2475
NP_465999.1	lmo2476
NP_466000.1	lmo2477
NP_466001.1	lmo2478
NP_466002.1	lmo2479
NP_466003.1	lmo2480
NP_466004.1	lmo2481
NP_466005.1	lmo2482
NP_466006.1	lmo2483
NP_466007.1	lmo2484
NP_466008.1	lmo2485
NP_466009.1	lmo2486
NP_466010.1	lmo2487
NP_466011.1	lmo2488
NP_466012.1	lmo2489
NP_466013.1	lmo2490
NP_466014.1	lmo2491
NP_466015.1	lmo2492
NP_466016.1	lmo2493
NP_466017.1	lmo2494
NP_466018.1	lmo2495
NP_466019.1	lmo2496
NP_466020.1	lmo2497
NP_466021.1	lmo2498
NP_466022.1	lmo2499
NP_466023.1	lmo2500
NP_466024.1	lmo2501
NP_466025.1	lmo2502
NP_466026.1	lmo2503
NP_466027.1	lmo2504
NP_466028.1	lmo2505
NP_466029.1	lmo2506
NP_466030.1	lmo2507
NP_466031.1	lmo2508
NP_466032.1	lmo2509
NP_466033.1	lmo2510
NP_466034.1	lmo2511
NP_466035.1	lmo2512
NP_466036.1	lmo2513
NP_466037.1	lmo2514
NP_466038.1	lmo2515
NP_466039.1	lmo2516
NP_466040.1	lmo2517
NP_466041.1	lmo2518
NP_466042.1	lmo2519
NP_466043.1	lmo2520
NP_466044.1	lmo2521
NP_466045.1	lmo2522
NP_466046.1	lmo2523
NP_466047.1	lmo2524
NP_466048.1	lmo2525
NP_466049.1	lmo2526
NP_466050.1	lmo2527
NP_466051.1	lmo2528
NP_466052.1	lmo2529
NP_466053.1	lmo2530
NP_466054.1	lmo2531
NP_466055.1	lmo2532
NP_466056.1	lmo2533
NP_466057.1	lmo2534
NP_466058.1	lmo2535
NP_466059.1	lmo2536
YP_008475642.1	lmo2536a
NP_466060.1	lmo2537
NP_466061.1	lmo2538
NP_466062.1	lmo2539
NP_466063.1	lmo2540
NP_466064.1	lmo2541
NP_466065.1	lmo2542
NP_466066.1	lmo2543
NP_466067.1	lmo2544
NP_466068.1	lmo2545
NP_466069.1	lmo2546
NP_466070.1	lmo2547
NP_466071.1	lmo2548
NP_466072.1	lmo2549
NP_466073.1	lmo2550
NP_466074.1	lmo2551
NP_466075.1	lmo2552
NP_466076.1	lmo2553
NP_466077.1	lmo2554
NP_466078.1	lmo2555
NP_466079.1	lmo2556
NP_466080.1	lmo2557
NP_466081.1	lmo2558
NP_466082.1	lmo2559
NP_466083.1	lmo2560
NP_466084.1	lmo2561
NP_466085.1	lmo2562
NP_466086.1	lmo2563
NP_466087.1	lmo2564
NP_466088.1	lmo2565
NP_466089.1	lmo2566
NP_466090.1	lmo2567
NP_466091.1	lmo2568
NP_466092.1	lmo2569
NP_466093.1	lmo2570
NP_466094.1	lmo2571
NP_466095.1	lmo2572
NP_466096.1	lmo2573
NP_466097.1	lmo2574
NP_466098.1	lmo2575
NP_466099.1	lmo2576
NP_466100.1	lmo2577
NP_466101.1	lmo2578
NP_466102.1	lmo2579
YP_008475643.1	lmo2579a
NP_466103.1	lmo2580
NP_466104.1	lmo2581
NP_466105.1	lmo2582
NP_466106.1	lmo2583
NP_466107.1	lmo2584
NP_466108.1	lmo2585
NP_466109.1	lmo2586
NP_466110.1	lmo2587
NP_466111.1	lmo2588
NP_466112.1	lmo2589
NP_466113.1	lmo2590
NP_466114.1	lmo2591
NP_466115.1	lmo2592
NP_466116.1	lmo2593
NP_466117.1	lmo2594
NP_466118.1	lmo2595
NP_466119.1	lmo2596
NP_466120.1	lmo2597
NP_466121.1	lmo2598
NP_466122.1	lmo2599
NP_466123.1	lmo2600
NP_466124.1	lmo2601
NP_466125.1	lmo2602
NP_466126.1	lmo2603
NP_466127.1	lmo2604
NP_466128.1	lmo2605
NP_466129.1	lmo2606
NP_466130.1	lmo2607
NP_466131.1	lmo2608
NP_466132.1	lmo2609
NP_466133.1	lmo2610
NP_466134.1	lmo2611
NP_466135.1	lmo2612
NP_466136.1	lmo2613
NP_466137.1	lmo2614
NP_466138.1	lmo2615
NP_466139.1	lmo2616
NP_466140.1	lmo2617
NP_466141.1	lmo2618
NP_466142.1	lmo2619
NP_466143.1	lmo2620
NP_466144.1	lmo2621
NP_466145.1	lmo2622
NP_466146.1	lmo2623
NP_466147.1	lmo2624
NP_466148.1	lmo2625
NP_466149.1	lmo2626
NP_466150.1	lmo2627
NP_466151.1	lmo2628
NP_466152.1	lmo2629
NP_466153.1	lmo2630
NP_466154.1	lmo2631
NP_466155.1	lmo2632
NP_466156.1	lmo2633
NP_466157.1	lmo2634
NP_466158.1	lmo2635
NP_466159.1	lmo2636
NP_466160.1	lmo2637
NP_466161.1	lmo2638
NP_466162.1	lmo2639
NP_466163.1	lmo2640
NP_466164.1	lmo2641
NP_466165.1	lmo2642
NP_466166.1	lmo2643
NP_466167.1	lmo2644
YP_008475644.1	lmo2644a
NP_466168.1	lmo2646
NP_466169.1	lmo2647
NP_466170.1	lmo2648
NP_466171.1	lmo2649
NP_466172.1	lmo2650
NP_466173.1	lmo2651
NP_466174.1	lmo2652
NP_466175.1	lmo2653
NP_466176.1	lmo2654
NP_466177.1	lmo2655
NP_466178.1	lmo2656
NP_466179.1	lmo2657
NP_466180.1	lmo2658
NP_466181.1	lmo2659
NP_466182.1	lmo2660
NP_466183.1	lmo2661
NP_466184.1	lmo2662
NP_466185.1	lmo2663
NP_466186.1	lmo2664
NP_466187.1	lmo2665
NP_466188.1	lmo2666
NP_466189.1	lmo2667
NP_466190.1	lmo2668
NP_466191.1	lmo2669
NP_466192.1	lmo2670
NP_466193.1	lmo2671
NP_466194.1	lmo2672
NP_466195.1	lmo2673
NP_466196.1	lmo2674
NP_466197.1	lmo2675
NP_466198.1	lmo2676
NP_466199.1	lmo2677
NP_466200.1	lmo2678
NP_466201.1	lmo2679
NP_466202.1	lmo2680
NP_466203.1	lmo2681
NP_466204.1	lmo2682
NP_466205.1	lmo2683
NP_466206.1	lmo2684
NP_466207.1	lmo2685
NP_466208.1	lmo2686
NP_466209.1	lmo2687
NP_466210.1	lmo2688
NP_466211.1	lmo2689
YP_008475645.1	lmo2689a
NP_466212.1	lmo2690
NP_466213.1	lmo2691
NP_466214.1	lmo2692
NP_466215.1	lmo2693
NP_466216.1	lmo2694
NP_466217.1	lmo2695
NP_466218.1	lmo2696
NP_466219.1	lmo2697
NP_466220.1	lmo2698
NP_466221.1	lmo2699
NP_466222.1	lmo2700
NP_466223.1	lmo2701
NP_466224.1	lmo2702
NP_466225.1	lmo2703
NP_466226.1	lmo2704
NP_466227.1	lmo2705
NP_466228.1	lmo2706
NP_466229.1	lmo2707
NP_466230.1	lmo2708
NP_466231.1	lmo2709
NP_466232.1	lmo2710
NP_466233.1	lmo2711
NP_466234.1	lmo2712
NP_466235.1	lmo2713
NP_466236.1	lmo2714
NP_466237.1	lmo2715
NP_466238.1	lmo2716
NP_466239.1	lmo2717
NP_466240.1	lmo2718
NP_466241.1	lmo2719
NP_466242.1	lmo2720
NP_466243.1	lmo2721
NP_466244.1	lmo2722
NP_466245.1	lmo2723
NP_466246.1	lmo2724
NP_466247.1	lmo2725
NP_466248.1	lmo2726
NP_466249.1	lmo2727
NP_466250.1	lmo2728
NP_466251.1	lmo2729
NP_466252.1	lmo2730
NP_466253.1	lmo2731
NP_466254.1	lmo2732
NP_466255.1	lmo2733
NP_466256.1	lmo2734
NP_466257.1	lmo2735
NP_466258.1	lmo2736
NP_466259.1	lmo2737
NP_466260.1	lmo2738
NP_466261.1	lmo2739
NP_466262.1	lmo2740
NP_466263.1	lmo2741
NP_466264.1	lmo2742
NP_466265.1	lmo2743
NP_466266.1	lmo2744
NP_466267.1	lmo2745
NP_466268.1	lmo2746
NP_466269.1	lmo2747
NP_466270.1	lmo2748
NP_466271.1	lmo2749
NP_466272.1	lmo2750
NP_466273.1	lmo2751
NP_466274.1	lmo2752
NP_466275.1	lmo2753
NP_466276.1	lmo2754
NP_466277.1	lmo2755
NP_466278.1	lmo2756
NP_466279.1	lmo2757
NP_466280.1	lmo2758
NP_466281.1	lmo2759
NP_466282.1	lmo2760
YP_008475646.1	lmo2760a
NP_466283.1	lmo2761
NP_466284.1	lmo2762
NP_466285.1	lmo2763
NP_466286.1	lmo2764
NP_466287.1	lmo2765
NP_466288.1	lmo2766
NP_466289.1	lmo2767
NP_466290.1	lmo2768
NP_466291.1	lmo2769
NP_466292.1	lmo2770
NP_466293.1	lmo2771
NP_466294.1	lmo2772
NP_466295.1	lmo2773
NP_466296.1	lmo2774
NP_466297.1	lmo2775
NP_466298.1	lmo2776
NP_466299.1	lmo2777
NP_466300.1	lmo2778
NP_466301.1	lmo2779
NP_466302.1	lmo2780
NP_466303.1	lmo2781
NP_466304.1	lmo2782
NP_466305.1	lmo2783
NP_466306.1	lmo2784
NP_466307.1	lmo2785
NP_466308.1	lmo2786
NP_466309.1	lmo2787
NP_466310.1	lmo2788
NP_466311.1	lmo2789
NP_466312.1	lmo2790
NP_466313.1	lmo2791
NP_466314.1	lmo2792
NP_466315.1	lmo2793
NP_466316.1	lmo2794
NP_466317.1	lmo2795
NP_466318.1	lmo2796
NP_466319.1	lmo2797
NP_466320.1	lmo2798
NP_466321.1	lmo2799
NP_466322.1	lmo2800
NP_466323.1	lmo2801
NP_466324.1	lmo2802
YP_008475647.1	lmo2802a
NP_466325.1	lmo2803
NP_466326.1	lmo2804
NP_466327.1	lmo2805
NP_466328.1	lmo2806
NP_466329.1	lmo2807
NP_466330.1	lmo2808
NP_466331.1	lmo2809
NP_466332.1	lmo2810
NP_466333.1	lmo2811
NP_466334.1	lmo2812
NP_466335.1	lmo2813
NP_466336.1	lmo2814
NP_466337.1	lmo2815
NP_466338.1	lmo2816
NP_466339.1	lmo2817
NP_466340.1	lmo2818
NP_466341.1	lmo2819
NP_466342.1	lmo2820
NP_466343.1	lmo2821
NP_466344.1	lmo2822
NP_466345.1	lmo2823
NP_466346.1	lmo2824
NP_466347.1	lmo2825
NP_466348.1	lmo2826
NP_466349.1	lmo2827
NP_466350.1	lmo2828
NP_466351.1	lmo2829
NP_466352.1	lmo2830
NP_466353.1	lmo2831
NP_466354.1	lmo2832
NP_466355.1	lmo2833
NP_466356.1	lmo2834
NP_466357.1	lmo2835
NP_466358.1	lmo2836
NP_466359.1	lmo2837
NP_466360.1	lmo2838
NP_466361.1	lmo2839
NP_466362.1	lmo2840
NP_466363.1	lmo2841
NP_466364.1	lmo2842
NP_466365.1	lmo2843
NP_466366.1	lmo2844
NP_466367.1	lmo2845
NP_466368.1	lmo2846
NP_466369.1	lmo2847
NP_466370.1	lmo2848
NP_466371.1	lmo2849
NP_466372.1	lmo2850
NP_466373.1	lmo2851
NP_466374.1	lmo2852
NP_466375.1	lmo2853
NP_466376.1	lmo2854
NP_466377.1	lmo2855
NP_466378.1	lmo2856
NP_466379.1	lmo2857
